Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1559;21100840458;"Periodicals of Engineering and Natural Sciences";journal;"23034521";0,221;Q3;20;174;730;4832;684;729;0,75;27,77;Bosnia and Herzegovina;Eastern Europe;"International University of Sarajevo";"2017-2022";"Architecture (Q2); Computer Science (miscellaneous) (Q3); Education (Q3); Electrical and Electronic Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Mechanical Engineering (Q3); Bioengineering (Q4); Biomedical Engineering (Q4)";"Chemical Engineering; Computer Science; Engineering; Social Sciences"
1560;21100793184;"Prikladnaya Diskretnaya Matematika";journal;"23112263, 20710410";0,221;Q4;6;34;101;576;26;100;0,25;16,94;Russian Federation;Eastern Europe;"Tomsk State University";"2016-2022";"Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Signal Processing (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1561;21100854223;"International Journal of Electronics Letters";journal;"21681732, 21681724";0,220;Q4;13;74;124;1524;133;124;0,99;20,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2022";"Electrical and Electronic Engineering (Q3); Computer Networks and Communications (Q4); Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
1562;21100223167;"Computacion y Sistemas";journal;"14055546";0,219;Q3;16;128;332;3889;248;327;0,70;30,38;Mexico;Latin America;"Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN)";"2012-2022";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1563;21100827423;"IIUM Engineering Journal";journal;"1511788X, 22897860";0,219;Q3;11;52;135;1315;137;134;0,90;25,29;Malaysia;Asiatic Region;"International Islamic University Malaysia";"2016-2022";"Chemical Engineering (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Applied Mathematics (Q4)";"Chemical Engineering; Computer Science; Engineering; Mathematics"
1564;19700187808;"Journal of Medical Ethics and History of Medicine";journal;"20080387";0,219;Q3;20;16;83;542;89;68;0,80;33,88;Iran;Middle East;"Teheran University of Medical Sciences";"2008-2022";"History (Q1); Law (Q2); Computer Science (miscellaneous) (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1565;16719;"Proceedings - Frontiers in Education Conference, FIE";conference and proceedings;"01905848, 15394565";0,219;-;45;378;1675;9962;1111;1669;0,85;26,35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976, 1978-1989, 1991-2013, 2015-2021";"Computer Science Applications; Education; Software";"Computer Science; Social Sciences"
1566;21100786316;"Bio-Algorithms and Med-Systems";journal;"1896530X, 18959091";0,218;Q4;10;4;77;146;108;77;1,56;36,50;Germany;Western Europe;"Walter de Gruyter";"2012-2022";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Computer Science (miscellaneous) (Q4); Health Informatics (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
1567;21100773724;"EAI Endorsed Transactions on Energy Web";journal;"2032944X";0,218;Q4;11;36;182;948;240;182;1,28;26,33;Belgium;Western Europe;"European Alliance for Innovation";"2013-2022";"Control and Systems Engineering (Q4); Energy Engineering and Power Technology (Q4); Information Systems (Q4); Marketing (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Business, Management and Accounting; Computer Science; Energy; Engineering"
1568;21101061447;"International Journal of Reconfigurable and Embedded Systems";journal;"20894864, 27222608";0,218;Q4;3;29;27;953;29;27;1,07;32,86;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2021-2022";"Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4); Hardware and Architecture (Q4); Logic (Q4)";"Computer Science; Engineering; Mathematics"
1569;21101018670;"Izvestiya of Saratov University. New Series. Series: Mathematics. Mechanics. Informatics";journal;"18169791, 25419005";0,218;Q3;5;44;133;874;45;133;0,34;19,86;Russian Federation;Eastern Europe;"Saratov National Research State University";"2018-2022";"Computational Mechanics (Q3); Computer Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mathematics (miscellaneous) (Q4); Mechanics of Materials (Q4)";"Computer Science; Engineering; Mathematics"
1570;19700186890;"Journal of Electrical Systems";journal;"11125209";0,218;Q3;19;40;127;1016;115;127;0,70;25,40;France;Western Europe;"Engineering and Scientific Research Groups (ESR Groups)";"2009-2022";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1571;21100411629;"Web Intelligence";journal;"24056464, 24056456";0,218;Q4;25;24;79;711;77;77;0,51;29,63;Netherlands;Western Europe;"IOS Press BV";"2015-2022";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4)";"Computer Science"
1572;21101055724;"Digital Chinese Medicine";journal;"2096479X, 25893777";0,217;Q4;8;42;79;1532;101;79;1,46;36,48;China;Asiatic Region;"KeAi Communications Co.";"2018-2022";"Complementary and Alternative Medicine (Q3); Computer Science Applications (Q4); Health Informatics (Q4); Medicine (miscellaneous) (Q4)";"Computer Science; Medicine"
1573;17700155303;"International Journal of Biometrics";journal;"1755831X, 17558301";0,217;Q4;16;31;80;780;84;79;0,81;25,16;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2022";"Electrical and Electronic Engineering (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4)";"Computer Science; Engineering; Mathematics"
1574;21100223332;"International Journal of Information System Modeling and Design";journal;"19478186, 19478194";0,217;Q4;18;20;56;546;72;55;1,54;27,30;United States;Northern America;"IGI Publishing";"2010-2022";"Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science"
1575;21100223145;"Journal of Music, Technology and Education";journal;"17527074, 17527066";0,217;Q4;15;6;35;326;29;31;0,53;54,33;United Kingdom;Western Europe;"Intellect Ltd.";"2012-2022";"Music (Q1); Education (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1576;21101028571;"SAE International Journal of Transportation Cybersecurity and Privacy";journal;"25721054, 25721046";0,217;Q4;3;0;24;0;14;24;0,57;0,00;United States;Northern America;"SAE International";"2019-2021";"Automotive Engineering (Q3); Safety, Risk, Reliability and Quality (Q3); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Engineering"
1577;21100941186;"Grafica";journal;"23397500, 20149298";0,216;Q3;3;19;46;450;26;46;0,72;23,68;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2019-2022";"Visual Arts and Performing Arts (Q1); Communication (Q3); Computer Graphics and Computer-Aided Design (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1578;21100211724;"Intelligent Decision Technologies";journal;"18724981, 18758843";0,216;Q4;17;60;150;2076;169;144;1,00;34,60;Netherlands;Western Europe;"IOS Press BV";"2007-2022";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science"
1579;19900193684;"Journal of Multiscale Modeling";journal;"17569737, 17569745";0,216;Q4;11;16;42;465;67;39;2,20;29,06;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2009-2010, 2020-2022";"Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1580;21100838052;"Qwerty";journal;"18287344, 22402950";0,216;Q4;8;13;37;366;49;34;1,67;28,15;Italy;Western Europe;"Progetti editoriali s.r.l.";"2017-2022";"Cultural Studies (Q2); Communication (Q3); Education (Q3); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
1581;21100940509;"Geomatics and Environmental Engineering";journal;"23007095, 18981135";0,215;Q4;6;35;83;1327;68;83;1,00;37,91;Poland;Eastern Europe;"AGH University of Science and Technology Press";"2019-2022";"Computers in Earth Sciences (Q3); Earth-Surface Processes (Q3); Geography, Planning and Development (Q3); Computer Science (miscellaneous) (Q4); Environmental Engineering (Q4)";"Computer Science; Earth and Planetary Sciences; Environmental Science; Social Sciences"
1582;21100211768;"International Journal of Computational Vision and Robotics";journal;"1752914X, 17529131";0,215;Q4;13;41;102;1535;97;101;0,85;37,44;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2012-2022";"Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4)";"Computer Science"
1583;19900191968;"Journal of Communications Software and Systems";journal;"18456421";0,215;Q4;17;35;111;1062;99;108;0,95;30,34;Croatia;Eastern Europe;"University of Split";"2006-2022";"Electrical and Electronic Engineering (Q4); Software (Q4)";"Computer Science; Engineering"
1584;21100199727;"Journal of Computing and Information Technology";journal;"13301136, 18463908";0,215;Q4;28;4;55;114;28;47;0,40;28,50;Croatia;Eastern Europe;"University of Zagreb, Faculty of Mining, Geology and Petroleum Engineering";"1996-2021";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1585;17900156721;"Journal of Electronic Resources Librarianship";journal;"1941126X, 19411278";0,215;Q4;14;30;101;551;45;73;0,50;18,37;United States;Northern America;"Routledge";"2008-2022";"Library and Information Sciences (Q3); Information Systems (Q4)";"Computer Science; Social Sciences"
1586;21100932524;"Journal of Technology and Chinese Language Teaching";journal;"1949260X";0,215;Q4;3;8;33;331;27;33;0,91;41,38;United States;Northern America;"Technology and Chinese Language Teaching Association";"2019-2022";"Linguistics and Language (Q2); Education (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1587;145256;"Australian Educational Computing";journal;"08169020";0,214;Q4;16;0;13;0;15;13;0,60;0,00;Australia;Pacific Region;"Australian Council for Computers in Education";"2002-2020";"Education (Q3); Computer Science Applications (Q4); E-learning (Q4)";"Computer Science; Social Sciences"
1588;21100851239;"Mechatronic Systems and Control";journal;"25611771, 2561178X";0,214;Q4;19;32;95;763;73;95;0,47;23,84;Canada;Northern America;"ACTA Press";"2018-2022";"Computer Science Applications (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1589;21101080460;"Operations Research Forum";journal;"26622556";0,214;Q4;6;66;103;3175;76;101;0,74;48,11;Switzerland;Western Europe;"Springer International Publishing AG";"2020-2022";"Economics, Econometrics and Finance (miscellaneous) (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
1590;21100902603;"Informatsionno-Upravliaiushchie Sistemy";journal;"25418610, 16848853";0,213;Q4;9;30;143;749;84;143;0,60;24,97;Russian Federation;Eastern Europe;"Saint Petersburg State University of Aerospace Instrumentation";"2018-2022";"Computer Science Applications (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
1591;21100872796;"International Journal of Semantic Computing";journal;"17937108, 1793351X";0,213;Q4;19;31;84;940;88;74;1,00;30,32;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2007-2022";"Linguistics and Language (Q2); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Social Sciences"
1592;21100944556;"Journal of the Acoustical Society of Korea";journal;"12254428, 22873775";0,213;Q4;5;79;239;1509;79;238;0,37;19,10;South Korea;Asiatic Region;"Acoustical Society of Korea";"2019-2022";"Speech and Hearing (Q3); Acoustics and Ultrasonics (Q4); Applied Mathematics (Q4); Instrumentation (Q4); Signal Processing (Q4)";"Computer Science; Health Professions; Mathematics; Physics and Astronomy"
1593;21100236007;"Computing in Cardiology";conference and proceedings;"2325887X, 23258861";0,212;-;62;0;829;0;540;822;0,68;0,00;United States;Northern America;"IEEE Computer Society";"2010-2021";"Cardiology and Cardiovascular Medicine; Computer Science (miscellaneous)";"Computer Science; Medicine"
1594;21100268428;"Journal of ICT Research and Applications";journal;"23375787";0,212;Q4;14;14;51;329;73;51;1,09;23,50;Indonesia;Asiatic Region;"Institut Teknologi Bandung (ITB)";"2013-2022";"Information Systems and Management (Q3); Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Decision Sciences; Engineering"
1595;26076;"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences";journal;"09168508";0,211;Q3;54;158;710;3428;361;679;0,50;21,70;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2022";"Computer Graphics and Computer-Aided Design (Q3); Applied Mathematics (Q4); Electrical and Electronic Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering; Mathematics"
1596;21101047448;"Proceedings of the National Academy of Sciences of Belarus. Physics and Mathematics Series";journal;"15612430, 25242415";0,211;Q4;1;38;45;608;11;45;0,24;16,00;Belarus;Eastern Europe;"Publishing House Belaruskaya Navuka";"2021-2022";"Physics and Astronomy (miscellaneous) (Q3); Computational Theory and Mathematics (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics; Physics and Astronomy"
1597;21100868216;"Engineering and Applied Science Research";journal;"25396218, 25396161";0,210;Q4;9;80;169;3713;213;169;1,34;46,41;Thailand;Asiatic Region;"Faculty of Engineering, Khon Kaen University";"2017-2022";"Engineering (miscellaneous) (Q3); Computer Science Applications (Q4)";"Computer Science; Engineering"
1598;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";0,209;-;137;4060;38395;101942;22107;36613;0,50;25,11;United States;Northern America;"Association for Computing Machinery (ACM)";"1993, 1996-1997, 1999-2022";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
1599;21100228019;"International Journal of Embedded and Real-Time Communication Systems";journal;"19473184, 19473176";0,209;Q4;13;16;66;603;56;66;0,84;37,69;United States;Northern America;"IGI Global Publishing";"2010-2022";"Computer Science (miscellaneous) (Q4)";"Computer Science"
